Año;Periodo;Agua embalsada
1995;Semana 49;14.687
1995;Semana 50;15.165
1995;Semana 51;15.711
1995;Semana 52;17.855
1996;Semana 1;22.590
1996;Semana 2;25.339
1996;Semana 3;28.844
1996;Semana 4;30.115
1996;Semana 5;32.538
1996;Semana 6;33.750
1996;Semana 7;34.550
1996;Semana 8;34.534
1996;Semana 9;34.266
1996;Semana 10;34.387
1996;Semana 11;34.333
1996;Semana 12;34.283
1996;Semana 13;34.564
1996;Semana 14;35.268
1996;Semana 15;35.827
1996;Semana 16;35.815
1996;Semana 17;35.856
1996;Semana 18;36.153
1996;Semana 19;36.060
1996;Semana 20;36.644
1996;Semana 21;37.094
1996;Semana 22;37.209
1996;Semana 23;37.040
1996;Semana 24;36.695
1996;Semana 25;36.149
1996;Semana 26;35.706
1996;Semana 27;35.000
1996;Semana 28;34.322
1996;Semana 29;33.693
1996;Semana 30;32.789
1996;Semana 31;32.017
1996;Semana 32;31.514
1996;Semana 33;30.836
1996;Semana 34;30.263
1996;Semana 35;29.713
1996;Semana 36;29.228
1996;Semana 37;28.712
1996;Semana 38;27.921
1996;Semana 39;27.579
1996;Semana 40;27.232
1996;Semana 41;26.897
1996;Semana 42;26.658
1996;Semana 43;26.531
1996;Semana 44;26.209
1996;Semana 45;25.845
1996;Semana 46;25.460
1996;Semana 47;25.728
1996;Semana 48;26.437
1996;Semana 49;27.113
1996;Semana 50;27.312
1996;Semana 51;29.157
1996;Semana 52;30.942
1996;Semana 53;34.007
1997;Semana 2;34.853
1997;Semana 3;36.859
1997;Semana 4;37.818
1997;Semana 5;38.920
1997;Semana 6;38.845
1997;Semana 7;38.672
1997;Semana 8;38.858
1997;Semana 9;38.985
1997;Semana 10;39.062
1997;Semana 11;38.960
1997;Semana 12;38.846
1997;Semana 13;38.709
1997;Semana 14;38.473
1997;Semana 15;38.044
1997;Semana 16;37.714
1997;Semana 17;37.498
1997;Semana 18;37.458
1997;Semana 19;37.237
1997;Semana 20;36.987
1997;Semana 21;36.999
1997;Semana 22;36.923
1997;Semana 23;37.173
1997;Semana 24;37.637
1997;Semana 25;37.714
1997;Semana 26;37.384
1997;Semana 27;37.006
1997;Semana 28;36.716
1997;Semana 29;36.332
1997;Semana 30;35.790
1997;Semana 31;35.244
1997;Semana 32;34.465
1997;Semana 33;33.822
1997;Semana 34;33.250
1997;Semana 35;32.678
1997;Semana 36;32.192
1997;Semana 37;31.685
1997;Semana 38;30.990
1997;Semana 39;30.625
1997;Semana 40;30.323
1997;Semana 41;30.193
1997;Semana 42;30.027
1997;Semana 43;29.685
1997;Semana 44;29.672
1997;Semana 45;29.847
1997;Semana 46;31.908
1997;Semana 47;33.306
1997;Semana 48;33.824
1997;Semana 49;35.728
1997;Semana 50;36.094
1997;Semana 51;36.076
1997;Semana 52;39.591
1997;Semana 53;40.604
1998;Semana 1;40.881
1998;Semana 2;40.326
1998;Semana 3;40.212
1998;Semana 4;40.048
1998;Semana 5;40.113
1998;Semana 6;41.346
1998;Semana 7;40.603
1998;Semana 8;40.420
1998;Semana 9;40.338
1998;Semana 10;40.254
1998;Semana 11;40.201
1998;Semana 12;40.046
1998;Semana 13;39.786
1998;Semana 14;40.178
1998;Semana 15;40.574
1998;Semana 16;40.892
1998;Semana 17;41.356
1998;Semana 18;41.726
1998;Semana 19;41.724
1998;Semana 20;41.787
1998;Semana 21;41.757
1998;Semana 22;41.981
1998;Semana 23;42.346
1998;Semana 24;42.286
1998;Semana 25;41.694
1998;Semana 26;40.865
1998;Semana 27;40.063
1998;Semana 28;39.159
1998;Semana 29;38.239
1998;Semana 30;37.131
1998;Semana 31;36.066
1998;Semana 32;35.136
1998;Semana 33;34.269
1998;Semana 34;33.571
1998;Semana 35;32.684
1998;Semana 36;31.933
1998;Semana 37;31.250
1998;Semana 38;30.683
1998;Semana 39;30.697
1998;Semana 40;30.636
1998;Semana 41;30.513
1998;Semana 42;30.675
1998;Semana 43;30.405
1998;Semana 44;30.070
1998;Semana 45;29.962
1998;Semana 46;29.847
1998;Semana 47;29.563
1998;Semana 48;29.503
1998;Semana 49;29.490
